State,City
Alabama,Huntsville city
Alabama,Montgomery city
Alabama,Birmingham city
Alabama,Mobile city
Alabama,Tuscaloosa city
Alabama,Hoover city
Alaska,Anchorage municipality
Alaska,Fairbanks city
Alaska,Juneau city and borough
Alaska,Wasilla city
Alaska,Sitka city and borough
Alaska,Ketchikan city
Arizona,Phoenix city
Arizona,Tucson city
Arizona,Mesa city
Arizona,Chandler city
Arizona,Gilbert town
Arizona,Glendale city
Arkansas,Little Rock city
Arkansas,Fayetteville city
Arkansas,Fort Smith city
Arkansas,Springdale city
Arkansas,Jonesboro city
Arkansas,Rogers city
California,Los Angeles city
California,San Diego city
California,San Jose city
California,San Francisco city
California,Fresno city
California,Sacramento city
Colorado,Denver city
Colorado,Colorado Springs city
Colorado,Aurora city
Colorado,Fort Collins city
Colorado,Lakewood city
Colorado,Thornton city
Connecticut,Bridgeport city
Connecticut,New Haven city
Connecticut,Stamford city
Connecticut,Hartford city
Connecticut,Waterbury city
Connecticut,Norwalk city
Delaware,Wilmington city
Delaware,Dover city
Delaware,Newark city
Delaware,Middletown town
Delaware,Smyrna town
Delaware,Milford city
District of Columbia,Washington city
Florida,Jacksonville city
Florida,Miami city
Florida,Tampa city
Florida,Orlando city
Florida,St. Petersburg city
Florida,Port St. Lucie city
Georgia,Atlanta city
Georgia,Columbus city
Georgia,Augusta-Richmond County consolidated government (balance)
Georgia,Macon-Bibb County
Georgia,Savannah city
Georgia,Athens-Clarke County unified government (balance)
Hawaii,Urban Honolulu CDP
Idaho,Boise City city
Idaho,Meridian city
Idaho,Nampa city
Idaho,Idaho Falls city
Idaho,Caldwell city
Idaho,Pocatello city
Illinois,Chicago city
Illinois,Aurora city
Illinois,Joliet city
Illinois,Naperville city
Illinois,Rockford city
Illinois,Springfield city
Indiana,Indianapolis city (balance)
Indiana,Fort Wayne city
Indiana,Evansville city
Indiana,South Bend city
Indiana,Fishers city
Indiana,Carmel city
Iowa,Des Moines city
Iowa,Cedar Rapids city
Iowa,Davenport city
Iowa,Sioux City city
Iowa,Iowa City city
Iowa,Ankeny city
Kansas,Wichita city
Kansas,Overland Park city
Kansas,Kansas City city
Kansas,Olathe city
Kansas,Topeka city
Kansas,Lawrence city
Kentucky,Louisville/Jefferson County metro government (balance)
Kentucky,Lexington-Fayette urban county
Kentucky,Bowling Green city
Kentucky,Owensboro city
Kentucky,Covington city
Kentucky,Georgetown city
Louisiana,New Orleans city
Louisiana,Baton Rouge city
Louisiana,Shreveport city
Louisiana,Lafayette city
Louisiana,Lake Charles city
Louisiana,Kenner city
Maine,Portland city
Maine,Lewiston city
Maine,Bangor city
Maine,South Portland city
Maine,Auburn city
Maine,Biddeford city
Maryland,Baltimore city
Maryland,Frederick city
Maryland,Gaithersburg city
Maryland,Rockville city
Maryland,Bowie city
Maryland,Hagerstown city
Massachusetts,Boston city
Massachusetts,Worcester city
Massachusetts,Springfield city
Massachusetts,Cambridge city
Massachusetts,Lowell city
Massachusetts,Brockton city
Michigan,Detroit city
Michigan,Grand Rapids city
Michigan,Warren city
Michigan,Sterling Heights city
Michigan,Ann Arbor city
Michigan,Lansing city
Minnesota,Minneapolis city
Minnesota,St. Paul city
Minnesota,Rochester city
Minnesota,Bloomington city
Minnesota,Duluth city
Minnesota,Brooklyn Park city
Mississippi,Jackson city
Mississippi,Gulfport city
Mississippi,Southaven city
Mississippi,Biloxi city
Mississippi,Hattiesburg city
Mississippi,Olive Branch city
Missouri,Kansas City city
Missouri,St. Louis city
Missouri,Springfield city
Missouri,Columbia city
Missouri,Independence city
Missouri,Lee's Summit city
Montana,Billings city
Montana,Missoula city
Montana,Great Falls city
Montana,Bozeman city
Montana,Butte-Silver Bow (balance)
Montana,Helena city
Nebraska,Omaha city
Nebraska,Lincoln city
Nebraska,Bellevue city
Nebraska,Grand Island city
Nebraska,Kearney city
Nebraska,Fremont city
Nevada,Las Vegas city
Nevada,Henderson city
Nevada,North Las Vegas city
Nevada,Reno city
Nevada,Sparks city
Nevada,Carson City
New Hampshire,Manchester city
New Hampshire,Nashua city
New Hampshire,Concord city
New Hampshire,Dover city
New Hampshire,Rochester city
New Hampshire,Keene city
New Jersey,Newark city
New Jersey,Jersey City city
New Jersey,Paterson city
New Jersey,Elizabeth city
New Jersey,Trenton city
New Jersey,Clifton city
New Mexico,Albuquerque city
New Mexico,Las Cruces city
New Mexico,Rio Rancho city
New Mexico,Santa Fe city
New Mexico,Roswell city
New Mexico,Farmington city
New York,New York city
New York,Buffalo city
New York,Rochester city
New York,Yonkers city
New York,Syracuse city
New York,Albany city
North Carolina,Charlotte city
North Carolina,Raleigh city
North Carolina,Greensboro city
North Carolina,Durham city
North Carolina,Winston-Salem city
North Carolina,Fayetteville city
North Dakota,Fargo city
North Dakota,Bismarck city
North Dakota,Grand Forks city
North Dakota,Minot city
North Dakota,West Fargo city
North Dakota,Williston city
Ohio,Columbus city
Ohio,Cleveland city
Ohio,Cincinnati city
Ohio,Toledo city
Ohio,Akron city
Ohio,Dayton city
Oklahoma,Oklahoma City city
Oklahoma,Tulsa city
Oklahoma,Norman city
Oklahoma,Broken Arrow city
Oklahoma,Edmond city
Oklahoma,Lawton city
Oregon,Portland city
Oregon,Eugene city
Oregon,Salem city
Oregon,Gresham city
Oregon,Hillsboro city
Oregon,Bend city
Pennsylvania,Philadelphia city
Pennsylvania,Pittsburgh city
Pennsylvania,Allentown city
Pennsylvania,Reading city
Pennsylvania,Erie city
Pennsylvania,Bethlehem city
Rhode Island,Providence city
Rhode Island,Warwick city
Rhode Island,Cranston city
Rhode Island,Pawtucket city
Rhode Island,East Providence city
Rhode Island,Woonsocket city
South Carolina,Charleston city
South Carolina,Columbia city
South Carolina,North Charleston city
South Carolina,Mount Pleasant town
South Carolina,Rock Hill city
South Carolina,Greenville city
South Dakota,Sioux Falls city
South Dakota,Rapid City city
South Dakota,Aberdeen city
South Dakota,Brookings city
South Dakota,Watertown city
South Dakota,Mitchell city
Tennessee,Nashville-Davidson metropolitan government (balance)
Tennessee,Memphis city
Tennessee,Knoxville city
Tennessee,Chattanooga city
Tennessee,Clarksville city
Tennessee,Murfreesboro city
Texas,Houston city
Texas,San Antonio city
Texas,Dallas city
Texas,Austin city
Texas,Fort Worth city
Texas,El Paso city
Utah,Salt Lake City city
Utah,West Valley City city
Utah,West Jordan city
Utah,Provo city
Utah,St. George city
Utah,Orem city
Vermont,Burlington city
Vermont,South Burlington city
Vermont,Rutland city
Vermont,Essex Junction village
Vermont,Barre city
Vermont,Winooski city
Virginia,Virginia Beach city
Virginia,Chesapeake city
Virginia,Norfolk city
Virginia,Richmond city
Virginia,Newport News city
Virginia,Alexandria city
Washington,Seattle city
Washington,Spokane city
Washington,Tacoma city
Washington,Vancouver city
Washington,Bellevue city
Washington,Kent city
West Virginia,Charleston city
West Virginia,Huntington city
West Virginia,Morgantown city
West Virginia,Parkersburg city
West Virginia,Wheeling city
West Virginia,Martinsburg city
Wisconsin,Milwaukee city
Wisconsin,Madison city
Wisconsin,Green Bay city
Wisconsin,Kenosha city
Wisconsin,Racine city
Wisconsin,Appleton city
Wyoming,Cheyenne city
Wyoming,Casper city
Wyoming,Gillette city
Wyoming,Laramie city
Wyoming,Rock Springs city
Wyoming,Sheridan city